代码	名称	公告时间	类型	公告内容
688127	蓝特光学	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.58亿元至1.68亿元，同比上升72.09%至82.99%，扣非净利润约1.51亿元至1.61亿元，同比上升100.26%至113.52%
688213	思特威-W	2024-10-14	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约2.523亿元至2.923亿元，营业收入约41亿元至43亿元，同比上升131.00%至143.00%，扣非净利润约2.821亿元至3.221亿元
688255	凯尔达	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约2800万元至3100万元，同比上升70.92%至89.23%，扣非净利润约2000万元至2300万元，同比上升409.33%至485.73%
688469	芯联集成-U	2024-10-14	业绩预告	预计2024年1-9月业绩减亏，归属净利润约-6.84亿元，同比上升49.73%，营业收入约45.47亿元，同比上升18.68%
000426	兴业银锡	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约12.5亿元至13.5亿元，同比上升130.22%至148.64%，每股收益约0.6804元至0.7348元，扣非净利润约12.6亿元至13.6亿元，同比上升123.07%至140.77%
000554	泰山石油	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约4800万元至6200万元，同比上升105.00%至165.00%，每股收益约0.0998元至0.129元，扣非净利润约5000万元至6400万元，同比上升108.00%至167.00%
000557	西部创业	2024-10-15	业绩预告	预计2024年1-9月业绩略增，归属净利润约2.24亿元，同比上升13.83%，每股收益约0.1536元，同比上升13.86%，扣非净利润约2.197亿元，同比上升8.02%
000563	陕国投Ａ	2024-10-15	业绩快报	2024年1-9月快报披露，营业总收入20.16亿元，归属净利润9.344亿元，基本每股收益0.1827元
000570	苏常柴Ａ	2024-10-15	业绩预告	预计2024年1-9月业绩预减，归属净利润约4000万元至5000万元，同比下降68.13%至74.50%，每股收益约0.0567元至0.0709元，扣非净利润约4000万元至4500万元，同比上升491.99%至540.99%
000600	建投能源	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约4.36亿元，同比上升92.38%，每股收益约0.242元，扣非净利润约3.72亿元，同比上升276.00%
000601	韶能股份	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.966亿元至2.066亿元，同比上升201.00%至216.31%，每股收益约0.1819元至0.1912元，扣非净利润约1.869亿元至1.969亿元，同比上升473.17%至503.83%
000627	天茂集团	2024-10-15	业绩预告	预计2024年1-9月业绩增亏，归属净利润约-3.45亿元至-3.15亿元，同比下降48.00%至62.00%，每股收益约-0.07元至-0.064元，扣非净利润约-3.44亿元至-3.14亿元，同比下降50.00%至64.00%
