"代码","名称","备注","涨幅","时间"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","1.44%","20250724"
"111","****","国内少数几家具备防腐防磨堆焊装备规模化生产能力的企业之一，防","-1.54%","20250724"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","0.75%","20250724"
"111","****","国内生物试剂行业国内领先的科技公司之一","1.57%","20250724"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","1.44%","20250724"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","20.02%","20250724"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","17.65%","20250724"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","20.02%","20250724"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","17.65%","20250724"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","0.75%","20250724"
"111","****","主营医用气体装备及系统、医用洁净装备及系统","1.41%","20250724"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","0.75%","20250724"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","17.65%","20250724"
"111","****","中国大陆地区唯一一家入选亚太临床试验联盟的SMO公司.","3.7%","20250724"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","0.75%","20250724"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","0.75%","20250724"
"111","****","从事医疗诊断、监护设备的研产销，产品涵盖血氧类、心电类、超声","20.03%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","中国大陆地区唯一一家入选亚太临床试验联盟的SMO公司.","-2.02%","20250725"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","-6.45%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","-6.45%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","-6.45%","20250725"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","-1.5%","20250725"
"111","****","主营医用气体装备及系统、医用洁净装备及系统","1.26%","20250725"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","-1.5%","20250725"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","-6.45%","20250725"
"111","****","中国大陆地区唯一一家入选亚太临床试验联盟的SMO公司.","-2.02%","20250725"
"111","****","从事医疗诊断、监护设备的研产销，产品涵盖血氧类、心电类、超声","20.03%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","主营医用气体装备及系统、医用洁净装备及系统","1.26%","20250725"
"111","****","从事医疗诊断、监护设备的研产销，产品涵盖血氧类、心电类、超声","20.03%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","2.55%","20250725"
