
2026-04-12 23:14:33
业绩预测：
代码	名称	公告类型	周期	营收/利润	营收/利润比	近三季度财报	最近一年财报	公告内容
300479	 神思电子	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                               2025年年报归属净利润1679万元，同比增长2.99%，基本每股收益0.09元
300506	ST名家汇	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润-6757万元，同比增长48.40%，基本每股收益-0.1元
300561	*ST汇科	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-1529万元，同比增长27.87%，基本每股收益-0.0466元
300562	 乐心医疗	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润8200万元，同比增长33.63%，基本每股收益0.377元
300610	 晨化股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2026年一季报归属净利润2586万元，同比下降4.30%，基本每股收益0.12元
300611	 美力科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.459亿元，同比增长36.76%，基本每股收益0.69元
300644	 南京聚隆	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润1.325亿元，同比增长57.05%，基本每股收益1.223元
300693	 盛弘股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润4.761亿元，同比增长10.99%，基本每股收益1.529元
300771	 智莱科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润8275万元，同比增长109.59%，基本每股收益0.35元
300866	 安克创新	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润25.45亿元，同比增长20.37%，基本每股收益4.772元
300922	 天秦装备	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润4234万元，同比增长1.59%，基本每股收益0.2709元
300979	 华利集团	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润32.07亿元，同比下降16.50%，基本每股收益2.75元
301108	 洁雅股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润7727万元，同比增长296.97%，基本每股收益0.68元
301148	 嘉戎技术	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                               2025年年报归属净利润5119万元，同比增长1.98%，基本每股收益0.44元
301628	 强达电路	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                               2025年年报归属净利润1.209亿元，同比增长7.31%，基本每股收益1.6元
600075	 新疆天业	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润-5707万元，同比下降183.40%，基本每股收益-0.03元
600273	 嘉化能源	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润9.878亿元，同比下降1.99%，基本每股收益0.74元
600279	 重庆港：	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润4880万元，同比下降90.78%，基本每股收益0.04元
600326	 西藏天路	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润-5683万元，同比增长45.50%，基本每股收益-0.04元
600359	 新农开发	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-813.3万元，同比下降136.19%，基本每股收益-0.02元
600416	 湘电股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润2.248亿元，同比下降9.72%，基本每股收益0.16元
600556	 天下秀：	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润3087万元，同比下降40.05%，基本每股收益0.02元
600584	 长电科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润15.65亿元，同比下降2.75%，基本每股收益0.87元
600641	 先导基电	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-1.266亿元，同比下降217.72%，基本每股收益-0.139元
600673	 东阳光：	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润2.755亿元，同比下降26.54%，基本每股收益0.09元
600728	 佳都科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润1.739亿元，同比增长251.34%，基本每股收益0.0821元
600855	 航天长峰	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-1.716亿元，同比增长30.24%，基本每股收益-0.3662元
600959	 江苏有线	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润2.584亿元，同比下降29.29%，基本每股收益0.05元
600983	 惠而浦：	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润5.197亿元，同比增长157.55%，基本每股收益0.68元
600987	 航民股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润7.348亿元，同比增长2.10%，基本每股收益0.72元
601999	 出版传媒	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                               2025年年报归属净利润1.05亿元，同比增长2.79%，基本每股收益0.19元
603036	 如通股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润1.052亿元，同比增长9.58%，基本每股收益0.51元
603230	 内蒙新华	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.748亿元，同比下降48.30%，基本每股收益0.49元
603256	 宏和科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润2.019亿元，同比增长785.55%，基本每股收益0.23元
603334	 丰倍生物	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.406亿元，同比增长13.52%，基本每股收益1.24元
603350	 安乃达：	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                               2025年年报归属净利润1.15亿元，同比增长4.62%，基本每股收益0.99元
