
2025-06-01 09:50:04
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
48	53/120	61.63%/80.54%	-0.3%/2.8%	19/15

2025-06-01 09:50:04
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
央国企改革/13/11天6板	婴童概念/7/2天2板	新型城镇化/6/10天6板	长江三角/6/3天3板	西部大开发/5/4天4板

2025-06-01 09:50:05
龙头股信息：
代码	名称	板块	高度	标签	警告
600468	百利电气	 智能电网	11天6板	11天6板,央国企改革,军工  	7/7/20250530
002094	 青岛金王	 -1.94%	 22%	 78%	119%	  0%	 15%	134%	4天2板,一带一路,电商概念      
002015	 协鑫能科	 -1.86%	 45%	 55%	158%	  0%	 42%	200%	昨日首板,换电概念,高压快充      
000037	 深南电A	  -1.8%	 87%	 13%	137%	  0%	175%	312%	昨日首板,储能,核能核电        
002383	 合众思壮	 -1.71%	 56%	 44%	 59%	  0%	 76%	135%	昨日首板,国产芯片,无人驾驶      
002355	 兴民智通	 -1.58%	 41%	 59%	 55%	  0%	161%	216%	昨日首板,EDR概念,电子后视镜    
600666	 奥瑞德：	  -1.5%	 47%	 53%	109%	  0%	 52%	161%	昨日首板,东数西算,3D玻璃      
603506	 南都物业	 -1.33%	100%	  0%	 53%	  0%	 26%	 80%	房地产服务人气龙头,社区团购,垃圾分类 
600446	 金证股份	 -1.18%	 31%	 69%	 56%	  0%	102%	157%	昨日首板,数据安全,虚拟机器人     
000695	 滨海能源	 -1.16%	100%	  0%	 62%	  0%	 10%	 71%	10天6板,固态电池,造纸印刷     
002317	 众生药业	  -1.1%	 26%	 74%	101%	  0%	 45%	146%	昨日首板,养老概念,长寿药       
603918	 金桥信息	 -0.46%	 29%	 71%	  0%	  0%	100%	100%	昨日首板,蚂蚁概念,化债(AMC)概念 
002609	 捷顺科技	 -0.19%	 33%	 67%	146%	  0%	 81%	228%	昨日首板,蚂蚁概念,数字哨兵      
002968	 新大正：	   0.0%	  0%	100%	119%	  0%	138%	257%	昨日首板,房地产服务,西部大开发    
000555	 神州信息	  0.25%	  0%	100%	 63%	  0%	 86%	149%	昨日首板,京东金融,数字货币      
300368	 汇金股份	  0.27%	  0%	100%	168%	  0%	 35%	202%	昨日首板,互联金融,雄安新区      
002342	 巨力索具	  1.03%	 35%	 65%	 21%	 45%	 16%	 82%	白酒人气龙头,白酒,雄安新区      
002946	 新乳业：	  1.21%	 35%	 65%	  0%	  0%	 62%	 62%	乳业成长龙头,西部大开发,新零售    
300682	 朗新集团	  1.42%	  0%	100%	141%	  0%	 60%	201%	昨日首板,蚂蚁概念,区块链       
