
2025-05-20 09:48:24
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	1.03%/337	央国企改革(27),并购重组(26),西部大开发(15),一带一路(11),电商(11)
飙升	 1.66%/74	       央国企改革(6),电池(5),微盘股(5),深圳特区(5),有色金属(5)
大涨	11.24%/47	   并购重组(6),央国企改革(6),西部大开发(3),家用轻工(3),电网设备(3)

2025-05-20 09:48:24
资金流入板块信息：
板块(量比/涨幅)
水泥建材(7.6/0.4),仪器仪表(6.2/0.2),生物制品(6.0/2.6),食品饮料(5.5/1.4),航运港口(5.4/-2.2)

(今日与昨日量比)上证：-9% 深证：-5% 创业板：-5% 沪深300：-10% 中证1000：-14% 银行板块：3%：

2025-05-20 09:48:42
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
301559	中集环科	20250514	1	70.0%	21.0%	6.0%	 3.0%	0.714	-1.0	医疗器械概念,通用设备       
601083	锦江航运	20250514	2	69.0%	18.0%	2.0%	12.0%	2.698	-5.0	沪企改革估值龙头,沪企改革,航运港口
300240	飞力达：	20250514	1	68.0%	16.0%	7.0%	10.0%	1.792	-1.0	物流行业,统一大市场        
603839	安正时尚	20250515	2	63.0%	26.0%	2.0%	 9.0%	0.856	 1.0	4天2板,婴童概念,电商概念    

2025-05-20 09:48:45
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
603363	傲农生物	2.48%	4.26	51.75	2.0	188	1032	猪肉概念,农牧饲渔	9/30	9/44%/0.9%

2025-05-20 09:49:54
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
002291	遥望科技	 3.08%	 9%	 -1%	210	-18	 488	1506	 1.0	T1	小红书概念,NFT概念         	2/46      	 9/67%/2.9%
603286	日盈电子	-1.36%	 3%	-10%	227	-34	 286	 662	-3.0	T1	传感器,无人驾驶            	4/23      	12/67%/1.2%

2025-05-20 09:49:54
热榜个股信息3（热榜个股信息1热榜350内+最近热榜飙升超1000+涨停+压力线超5%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
002165	红宝丽：	 4.11%	 9%	-11%	 57	-24	 -16	  15	 1.0	T1	3日主力净流入领先,长江三角,建筑节能 	2+27 	15/73%/2.5%
002571	德力股份	 0.91%	11%	-14%	114	-11	 959	-158	 9.0	T1	昨日首板,家用轻工,网络游戏      	1+12 	6/67%/-0.4%
601866	中远海发	-5.54%	18%	 -6%	182	-13	 -94	 994	-5.0	T2	低价股成长龙头,海洋经济,航运港口   	8/95 	 2/50%/1.7%
301301	川宁生物	 7.19%	15%	 -6%	195	 51	-123	1463	 5.0	T1	AI制药（医疗）人气龙头,生物制品,合成	24/60	 1/0%/-2.4%
603286	日盈电子	-1.36%	 3%	-10%	227	-34	 286	 662	-3.0	T1	传感器,无人驾驶            	4/23 	12/67%/1.2%
601083	锦江航运	 -6.7%	17%	 -9%	228	-10	-110	 408	-5.0	T2	沪企改革估值龙头,沪企改革,航运港口  	2+17 	 5/40%/0.8%
603839	安正时尚	 3.26%	19%	 -6%	229	-26	-108	1325	 1.0	T2	4天2板,婴童概念,电商概念      	0+0  	7/57%/-0.1%

2025-05-20 09:49:54
热榜个股信息4(热榜350内+涨停+支撑线<20%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
000605	渤海股份	 7.31%	12	 10%	 59	 -4	2536	1265	 8.0	T1	昨日首板,REITs概念,京津冀    	2/17         	10/70%/5.9%
600658	电子城：	 7.25%	10	  7%	 47	 17	2834	1158	 1.0	T1	昨日首板,REITs概念,央国企改革  	2/23         	 9/56%/2.9%
301301	川宁生物	 7.19%	15	 -6%	195	 51	-123	1463	 5.0	T1	AI制药（医疗）人气龙头,生物制品,合成	24/60        	 1/0%/-2.4%
000722	湖南发展	 5.63%	14	  7%	 39	 -1	 477	 109	 1.0	T1	昨日首板,供销社概念,央国企改革    	1+23         	3/100%/6.6%
002798	帝欧家居	 5.06%	15	 10%	 93	  4	2807	1411	 1.0	T1	昨日首板,微盘股,西部大开发      	0/13         	 2/0%/-2.0%
603922	金鸿顺：	 4.78%	10	 -2%	 38	 19	1477	 797	 9.0	T1	昨日首板,并购重组概念,汽车零部件   	1+15         	 6/83%/4.1%
600743	华远地产	 4.52%	10	  5%	 87	 12	2271	 898	 1.0	T1	昨日首板,REITs概念,央国企改革  	3/20         	 9/67%/2.2%
002165	红宝丽：	 4.11%	 9	-11%	 57	-24	 -16	  15	 1.0	T1	3日主力净流入领先,长江三角,建筑节能 	2+27         	15/73%/2.5%
002286	保龄宝：	 3.99%	15	  5%	 67	-11	 177	 103	 9.0	T1	昨日首板,合成生物,食品饮料      	0+0          	5/40%/-1.1%
600800	渤海化学	 3.95%	 6	 -5%	256	-47	  -2	 -55	 7.0	T1	滨海新区人气龙头,滨海新区,央国企改革 	2+19         	14/71%/3.7%
000935	四川双马	 3.71%	10	  5%	 32	  3	2299	 878	 9.0	T1	昨日首板,并购重组概念,水泥建材    	3/35         	 5/40%/0.4%
605338	巴比食品	 3.56%	12	  5%	 77	 -5	1985	1031	 1.0	T1	昨日首板,食品饮料,电商概念      	6+15         	3/100%/2.7%
002990	盛视科技	 3.34%	10	  1%	 96	 -4	2164	1174	 7.0	T1	昨日首板,医疗器械概念,电子后视镜   	8+22         	5/40%/-0.1%
000905	厦门港务	 3.33%	16	  3%	 17	  5	 477	 609	 9.0	T1	昨日首板,跨境电商,央国企改革     	0+0          	4/25%/-0.1%
