
2025-06-12 09:50:20
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.95%/338	谷子经济(24),数字货币(18),小金属(18),稀土永磁(16),新能源车(13)
飙升	 2.14%/76	  AI眼镜(17),采掘行业(10),油气设服(8),虚拟现实(7),石油行业(4)
大涨	10.74%/33	   谷子经济(4),新能源车(3),盲盒经济(3),汽车零部件(2),AI眼镜(2)

2025-06-12 09:50:20
资金流入板块信息：
板块(量比/涨幅)
采掘行业(5.9/1.9),家用轻工(5.1/1.3),石油行业(4.9/0.2),小金属(4.8/-0.6),游戏(4.4/0.9)

(今日与昨日量比)上证：-8% 深证：-4% 创业板：-3% 沪深300：0% 中证1000：-6% 银行板块：7%：

2025-06-12 09:50:33
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
603679	华体科技	20250605	2	66.0%	10.0%	7.0%	17.0%	0.784	-2.0	智慧灯杆,成渝特区

2025-06-12 09:50:35
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
003027	同兴科技	-1.74%	 14%	  1%	270	-26	1961	1440	-5.0	T1	储能,钠离子电池           	1/13        	  5/60%/0.1%

2025-06-12 09:51:34
热榜个股信息3（热榜个股信息1热榜350内+最近热榜飙升超1000+涨停+压力线超5%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
603390	通达电气	-5.14%	 11%	-16%	 23	  2	 187	 -81	-1.0	T1	昨日首板,汽车零部件,胎压监测     	0+15      	14/64%/3.0%
002471	中超控股	-3.72%	  4%	-10%	 62	-18	   6	  17	-3.0	T1	商业航天人气龙头,电网设备,石墨烯   	0+0       	15/67%/3.8%
002779	中坚科技	 2.04%	-21%	-27%	 84	 -8	1240	 809	 2.0	T1	昨日首板,机器人概念,专用设备     	9+66      	13/69%/1.4%
603011	合锻智能	-0.48%	 10%	 -8%	108	 10	  -8	  12	 2.0	T1	光通信模块人气龙头,光通信模块,可控核聚	42-15/1+26	14/71%/2.9%
002882	金龙羽：	 0.88%	 12%	 -9%	118	-19	 -45	  32	-4.0	T1	无人机人气龙头,深圳特区,无人机    	44-20/1+23	6/50%/-0.3%
605388	均瑶健康	-6.96%	 18%	-14%	119	-23	 -56	 -36	-6.0	T1	食品饮料人气龙头,食品饮料,乳业    	1+13      	10/80%/4.6%
600644	乐山电力	 0.44%	  7%	 -7%	121	-29	 129	  -9	-2.0	T1	天然气人气龙头,天然气,西部大开发   	0+0       	13/85%/4.9%
603042	华脉科技	-1.81%	 19%	-15%	163	-46	 -97	 316	-7.0	T2	物联网,数据中心            	1+18      	13/46%/1.8%
000533	顺钠股份	-3.01%	 18%	 -9%	190	-28	 -76	  77	-9.0	T1	参股保险人气龙头,电网设备,抽水蓄能  	2+28      	12/67%/4.9%
002900	哈三联：	-1.93%	 14%	 -7%	194	-22	 166	   6	-9.0	T1	消毒剂人气龙头,消毒剂,病毒防治    	0+0       	11/82%/6.0%
603017	中衡设计	-2.73%	 15%	-17%	248	-63	-155	-100	-2.0	T1	低空经济,装配建筑           	2/12      	 4/50%/2.5%

2025-06-12 09:51:34
热榜个股信息4(热榜350内+涨停+支撑线<20%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
603003	退市龙宇	 7.66%	 10	 10%	110	  2	1886	1977	 1.0	T1	昨日首板,Kimi概念,边缘计算    	1/7             	 20/65%/0.8%
603124	江南新材	  6.5%	 12	  9%	 55	  8	1314	1186	 9.0	T1	昨日首板,电子元件,PCB       	0+0             	         nan
002161	远望谷：	 5.66%	 11	 -1%	133	 26	 482	  43	 1.0	T1	电子身份证人气龙头,谷子经济,电子身份证	3/32            	  7/57%/2.2%
002826	易明医药	 3.62%	  0	  0%	 45	 21	   7	 334	 6.0	T5	7天6板,中药概念,中药        	0+14            	  6/50%/2.0%
603335	迪生力：	 3.54%	 10	  5%	 18	  8	1484	 569	 9.0	T1	昨日首板,贬值受益,微盘股       	0+0             	10/40%/-2.0%
002122	汇洲智能	  2.9%	  9	 -4%	161	-22	 418	 380	 1.0	T1	小红书概念,人工智能          	13+56           	 22/59%/3.4%
603982	泉峰汽车	 2.55%	 11	  7%	 22	  2	2666	1710	 9.0	T1	昨日首板,轮毂电机,减速器       	1/12            	         nan
603587	地素时尚	 2.28%	 13	 10%	 37	  9	3210	1328	 1.0	T1	昨日首板,电商概念,首发经济      	4/16            	1/100%/10.0%
002779	中坚科技	 2.04%	-21	-27%	 84	 -8	1240	 809	 2.0	T1	昨日首板,机器人概念,专用设备     	9+66            	 13/69%/1.4%
603722	阿科力：	 1.99%	 16	 10%	 99	  1	2843	2760	 4.0	T1	昨日首板,虚拟现实,塑料制品      	0/21            	 1/100%/1.5%
001234	泰慕士：	 1.86%	 19	  4%	 34	 28	  79	 -49	 9.0	T1	昨日首板,纺织服装           	0+0             	  6/83%/6.7%
001316	润贝航科	  1.7%	 12	  7%	 74	  8	 785	1071	 9.0	T1	昨日首板,贸易行业,大飞机       	0+10            	 11/36%/0.8%
600589	大位科技	  1.3%	 13	 -4%	236	-14	-125	  -6	 1.0	T1	互联网服务,小米概念          	27+48           	 29/72%/4.3%
603725	天安新材	  1.2%	 10	  5%	 58	 -3	1258	 557	 9.0	T1	昨日首板,创投,新材料         	0/15            	 2/100%/2.8%
002882	金龙羽：	 0.88%	 12	 -9%	118	-19	 -45	  32	-4.0	T1	无人机人气龙头,深圳特区,无人机    	44-20/1+23      	 6/50%/-0.3%
002923	润都股份	 0.77%	 14	  7%	 41	  2	1042	 240	 7.0	T1	昨日首板,电子烟,工业大麻       	1+13            	  8/50%/2.3%
605018	长华集团	 0.74%	 18	  3%	206	 44	 -72	 577	 9.0	T1	人形机器人人气龙头,机器人概念,特斯拉 	3+12            	  9/56%/1.2%
