
2025-04-22 22:22:12
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
87	93/114	74.4%/78.62%	2.05%/2.41%	24/23

2025-04-22 22:22:12
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/26/13天8板	一带一路/14/13天8板	长江三角/14/14天7板	西部大开发/12/13天12板	电商概念/11/9天5板

2025-04-22 22:22:14
龙头股信息：
代码	名称	板块	板数	标签	警告
001212	中旗新材	粤港自贸	 15天9板	15天9板,粤港自贸,新材料  	8/5/20250418
600664	 哈药股份	-0.53%	 | 30%	 70% |	  0%	  0%	 96% |	  96%	昨日首板,化学制药,肝炎概念      
002279	 久其软件	-0.29%	| 100%	  0% |	143%	  0%	122% |	 264%	昨日首板,化债(AMC)概念,雄安新区 
300139	 晓程科技	-0.24%	 | 15%	 85% |	 22%	  0%	 84% |	 106%	昨日首板,黄金概念,贵金属       
002391	 长青股份	-0.18%	 | 85%	 15% |	 49%	 57%	107% |	 212%	昨日首板,农药兽药,长江三角      
300778	 新城市：	  0.0%	 | 78%	 22% |	  0%	 10%	 69% |	  79%	海绵城市,新型城镇化          
603103	 横店影视	 0.25%	  | 0%	100% |	 50%	  0%	127% |	 177%	昨日首板,虚拟现实,影视概念      
600810	 神马股份	 0.25%	 | 58%	 42% |	  0%	  0%	 74% |	  74%	央国企改革,新材料           
000862	 银星能源	 0.33%	  | 0%	100% |	153%	  0%	129% |	 282%	昨日首板,央国企改革,西部大开发    
000402	金 融 街	 0.34%	 | 17%	 83% |	  0%	  0%	 68% |	  68%	房地产开发,央国企改革         
002297	 博云新材	 0.57%	  | 0%	100% |	 36%	  0%	 89% |	 125%	昨日首板,央国企改革,新材料      
601010	 文峰股份	 0.59%	 | 74%	 26% |	  0%	  9%	 51% |	  60%	商业百货,参股券商           
002773	 康弘药业	 0.63%	  | 0%	100% |	  0%	  0%	101% |	 101%	昨日首板,创新药,单抗概念       
603271	 永杰新材	 0.65%	 | 89%	 11% |	 14%	  0%	 51% |	  65%	高管增持,有色金属,锂电池       
002795	 永和智控	 0.79%	  | 0%	100% |	  0%	  0%	170% |	 170%	昨日首板,贬值受益,BC电池      
600860	 京城股份	 0.89%	  | 0%	100% |	553%	  0%	452% |	1005%	昨日首板,央国企改革,天然气      
002235	 安妮股份	 0.93%	  | 0%	100% |	  0%	 90%	 96% |	 186%	昨日首板,NFT概念,区块链      
600988	 赤峰黄金	 0.97%	  | 0%	100% |	 32%	  0%	120% |	 153%	昨日首板,黄金概念,贵金属       
600505	 西昌电力	 1.15%	  | 0%	100% |	 73%	 10%	 40% |	 122%	昨日首板,央国企改革,成渝特区     
000626	 远大控股	 1.22%	  | 0%	100% |	  0%	  0%	140% |	 140%	昨日首板,生态农业,贸易行业      
000560	 我爱我家	  1.4%	 | 11%	 89% |	 17%	 26%	 53% |	  96%	租售同权,鸿蒙概念           
605488	 福莱新材	 1.46%	  | 0%	100% |	 86%	  0%	 64% |	 150%	昨日首板,降解塑料,一带一路      
603110	 东方材料	  1.6%	  | 0%	100% |	110%	  0%	 53% |	 163%	6天3板,娃哈哈概念,化学制品     
301259	 艾布鲁：	 1.63%	  | 0%	100% |	 14%	  0%	 95% |	 109%	昨日首板,垃圾分类,新型城镇化     
002479	 富春环保	  1.9%	  | 0%	100% |	181%	  0%	141% |	 322%	昨日首板,黄金概念,垃圾分类      
300204	 舒泰神：	 1.93%	  | 0%	100% |	  0%	 59%	 79% |	 139%	昨日首板,创新药,单抗概念       
003027	 同兴科技	 1.93%	  | 0%	100% |	  0%	 57%	 37% |	  94%	环保行业,微盘股            
600589	 大位科技	 2.26%	  | 0%	100% |	 16%	 64%	 95% |	 175%	昨日首板,大数据,小米概念       
