
2025-04-19 19:00:16
业绩预测：
代码	名称	类型	公告时间	涨幅	Q3_R	Q3_RR	Q3_P	Q3_PR	Y_R	Y_RR	Y_P	Y_PR	Q1_R	Q1_RR	Q1_P	Q1_PR	公告内容
300972	 万辰集团	报表披露	2025-04-19	-1.28%	 0.0	 0.0%	  1.0	 249.0% | 	320.0	 0.0%	  3.0	  454.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润2.935亿元，同比增长453.95%，基本每股收益1.714元                                                                                                                                                            
301105	 鸿铭股份	报表披露	2025-04-19	-0.03%	 0.0	 0.0%	  0.0	 211.0% | 	  0.0	 0.0%	  0.0	    0.0% | 	0.0	0.0%	 0.0	  -7.0%	2024年年报归属净利润-977.1万元，同比增长41.75%，基本每股收益-0.2元                                                                                                                                                             
600148	 长春一东	报表披露	2025-04-19	  0.0%	 0.0	 0.0%	  0.0	  68.0% | 	  0.0	 0.0%	  0.0	 -451.0% | 	0.0	0.0%	 0.0	   0.0%	2025年一季报归属净利润-41.52万元，同比增长76.17%，基本每股收益-0.0029元                                                                                                                                                         
600159	 大龙地产	报表披露	2025-04-19	 3.48%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	 -2.0	   40.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-1.994亿元，同比增长39.71%，基本每股收益-0.24元                                                                                                                                                            
600300	 维维股份	报表披露	2025-04-19	-7.39%	 0.0	 0.0%	  2.0	  84.0% | 	  0.0	 0.0%	  4.0	   96.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润4.111亿元，同比增长96.26%，基本每股收益0.25元                                                                                                                                                              
600302	 标准股份	报表披露	2025-04-19	 0.21%	 0.0	 0.0%	  0.0	  34.0% | 	  0.0	 0.0%	 -2.0	   22.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-1.534亿元，同比增长21.78%，基本每股收益-0.4433元                                                                                                                                                          
600460	 士兰微：	报表披露	2025-04-19	-1.03%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	  2.0	  714.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润2.199亿元，同比增长714.40%，基本每股收益0.13元                                                                                                                                                             
600561	 江西长运	报表披露	2025-04-19	-0.36%	 0.0	 0.0%	  0.0	 106.0% | 	  0.0	 0.0%	  0.0	  119.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润1103万元，同比增长119.03%，基本每股收益0.04元                                                                                                                                                              
600666	 奥瑞德：	报表披露	2025-04-19	 2.82%	 0.0	 0.0%	  0.0	  84.0% | 	  0.0	 0.0%	 -2.0	   75.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-1.714亿元，同比增长74.62%，基本每股收益-0.0623元                                                                                                                                                          
600691	 阳煤化工	报表披露	2025-04-19	 0.52%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	 -7.0	   50.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-6.807亿元，同比增长50.15%，基本每股收益-0.2865元                                                                                                                                                          
