2025-04-24 23:33:04
2025-04-25 00:00:00 4月25日盘前必读 2.36% 七部门印发《医药工业数智化转型实施方案（2025-2030年）》提出，深化人工智能赋能应用。支持相关单位建立医药大模型创新平台，协同开展医药大模型技术产品研发、监管科学研究等，强化标准规范、科技伦理、应用安全和风险管理等规则建设。开展“人工智能赋能医药全产业链”应用试点，鼓励龙头医药企业与医疗机构、科研院所、上下游企业、大用户等组成联合体，面向医药全产业链形成一批效果显著的标志性应用场景。鼓励各地建设医药人工智能领域概念验证、中试验证、共性技术、知识产权运营、开源社区等公共服务平台（新闻来源：央视新闻）
           题材       分类  子类    代码     名称     涨幅                  理由               
    48   跨境贸易三大支柱  跨境物流        俄罗斯  603967   中创物流   -5.12%   中俄班列，为提供铁路运输服务                
    49   跨境贸易三大支柱  跨境物流        俄罗斯  603836   海程邦达   -2.88%   中欧班列，铁运业务途径俄罗斯                
    50   跨境贸易三大支柱  跨境物流        俄罗斯  600415   小商品城    1.81%   中欧班列，已在俄罗斯布局海外仓               
    51   跨境贸易三大支柱  跨境物流         欧洲  601598   中国外运     0.2%   收购KLG，打造欧洲统一物流平台              
    52   跨境贸易三大支柱  跨境物流         欧洲  603569   长久物流   -1.81%   哈欧国际经营哈欧班列                    
    53   跨境贸易三大支柱  跨境物流         欧洲  600415   小商品城    1.81%   义新欧中欧班列                       
    54   跨境贸易三大支柱  跨境物流         欧洲  603128   华贸物流   -5.86%   中国物流集团旗下                      
    55   跨境贸易三大支柱  跨境物流         欧洲  603836   海程邦达   -2.88%   中欧班列.成渝甜城号                    
    56   跨境贸易三大支柱  跨境物流         欧洲  600278   东方创业    -3.5%   中欧班列——上海号                     
    57   跨境贸易三大支柱  跨境物流         欧洲  600540   新赛股份   -2.47%   大股东中新建物流，新疆第二大中欧班列集结中心        
    58   跨境贸易三大支柱  跨境物流         欧洲  600125   铁龙物流   -0.53%   大股东负责运营，业务占比小                 
    59   跨境贸易三大支柱  跨境电商        敦煌网  603128   华贸物流   -5.86%   敦煌网合作进度A股第一，敦煌网制定国际货物供应商      
    60   跨境贸易三大支柱  跨境电商        敦煌网  002279   久其软件   -1.81%   合作进度A股第二，为敦煌网提供营销+跨境服务        
    61   跨境贸易三大支柱  跨境电商        敦煌网  002098   浔兴股份   10.02%   公司产品全球交易助手可适用于敦煌网跨境电商平台       
    62   跨境贸易三大支柱  跨境电商        敦煌网  600128   苏豪弘业   -2.26%   公司已在敦煌网开设店铺                   
    63   跨境贸易三大支柱  跨境电商        敦煌网  600439   瑞贝卡：   -1.79%   公司已在敦煌网开设店铺                   
    64   跨境贸易三大支柱  跨境电商        敦煌网  002094   青岛金王    2.24%   与敦煌网运营方数贸科技签署战略合作协议           
    65   跨境贸易三大支柱  跨境电商        敦煌网  301558   三态股份   -5.57%   敦煌网供应商可能通过三态股份的物流网络完成订单履约     
    66   跨境贸易三大支柱  跨境电商        敦煌网  688229   博睿数据   -4.92%   为敦煌网提供不同业务健康度智能基线             
    67   跨境贸易三大支柱  跨境电商        敦煌网  600373   中文传媒   -2.01%   旗下智明星通的行云平台服务于敦煌网在内的外贸电商客户    
    68   跨境贸易三大支柱  跨境电商        敦煌网  600735   新华锦：   -2.18%   公司与敦煌网有业务合作，瞄准跨境服务市场          
    69   跨境贸易三大支柱  跨境电商        亚马逊  300866   安克创新   -1.57%  营收规模A股第一，142.5亿，主消费电子\n        
    70   跨境贸易三大支柱  跨境电商        亚马逊  301376   致欧科技    1.35%  营收规模A股第二，54.55亿，主家具家居\n        
