
2025-03-25 10:50:45
飙升个股信息(今日人气飙升前100+排名350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	成交量	成交额	九转	人气排名	人气较昨日变动	标签	股本
002196	方正电机	 -5.97%	 7.79%	146	 -23	 -52	 -57	-7.0	T1	-17.98%	电机人气龙头,长江三角,机器人概念  	2+29 # 7+57%+2.6%        
600550	保变电气	  4.98%	10.13%	150	 380	-128	1236	 4.0	T1	 -6.08%	核能核电,电网设备          	9+63 # 14+57%+2.9%       
002655	共达电声	  2.56%	 18.8%	186	 126	-104	1502	 3.0	T2	 -7.02%	电子烟,半导体概念          	9+35 # 3+67%+5.9%        
000409	云鼎科技	 -3.38%	-9.84%	223	 -40	 -64	 -70	-3.0	T1	-22.35%	北斗导航估值龙头,互联网服务,数据中心	45-7/0+38 # 9+67%+2.5%   
002559	亚威股份	 -3.67%	13.58%	237	-111	 -85	 283	-4.0	T2	 -17.0%	存储芯片,边缘计算          	1+49 # 4+50%+0.5%        

2025-03-25 10:53:07
人气个股信息4(排名350内+最近涨停+最近涨幅<20%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
000541	佛山照明	  7.82%	15.62	  5	   4	  18	 274	 6.0	T1	 15.97%	4天2板,智慧灯杆,央国企改革     	3+62 # 2+50%+2.1%        
603072	天和磁材	  6.11%	14.79	 27	  10	 153	 666	 2.0	T1	  2.89%	昨日首板,稀土永磁,小金属概念     	0-0/0+0 # 3+67%+0.9%     
002767	先锋电子	  5.24%	14.55	 34	  10	 261	2720	 8.0	T1	 21.03%	3天2板,天然气,仪器仪表       	0+13 # 5+80%+6.0%        
600550	保变电气	  4.98%	10.13	150	 380	-128	1236	 4.0	T1	 -6.08%	核能核电,电网设备           	9+63 # 14+57%+2.9%       
003033	征和工业	  4.49%	12.52	 97	 -28	 494	 -45	 2.0	T1	   6.5%	昨日首板,汽车零部件          	29-20/2+7 # 9+33%+-0.4%  
002165	红宝丽：	  2.91%	12.24	100	 -10	  27	2294	-5.0	T1	 10.24%	环氧丙烷人气龙头,太阳能,新材料    	2+27 # 5+100%+6.4%       
002655	共达电声	  2.56%	 18.8	186	 126	-104	1502	 3.0	T2	 -7.02%	电子烟,半导体概念           	9+35 # 3+67%+5.9%        
002093	国脉科技	  2.26%	 6.22	 74	   6	 -44	 -43	 1.0	T1	-19.02%	6G概念人气龙头,6G概念,5G概念  	8+60 # 7+86%+5.5%        
601608	中信重工	  0.69%	15.54	 11	  -3	  81	 758	 4.0	T1	 21.13%	3天2板,超级电容,军工        	30+65 # 2+50%+3.6%       
002547	春兴精工	  -1.0%	 7.79	143	  79	 -81	 656	 4.0	T1	 -8.29%	军工,新能源              	62-17/1+44 # 14+57%+2.4% 
002115	三维通信	 -1.89%	 1.44	 47	   7	  63	 182	-7.0	T1	  5.56%	天基互联人气龙头,抖音概念(字节概念),	1+56 # 12+67%+3.7%       
600979	广安爱众	 -1.91%	17.41	108	 -19	   2	  98	-3.0	T1	  5.91%	成渝特区人气龙头,西部大开发,算力概念 	6+41 # 14+64%+2.9%       
603686	福龙马：	 -2.54%	11.56	159	 -55	 176	 875	-2.0	T1	 11.22%	华为概念,无人驾驶           	51-9/7+35 # 5+60%+2.9%   
000409	云鼎科技	 -3.38%	-9.84	223	 -40	 -64	 -70	-3.0	T1	-22.35%	北斗导航估值龙头,互联网服务,数据中心 	45-7/0+38 # 9+67%+2.5%   
000852	石化机械	 -3.53%	19.01	 72	 -12	  46	 805	-2.0	T1	 16.45%	海工装备,可燃冰            	11+28 # 2+100%+3.8%      
002559	亚威股份	 -3.67%	13.58	237	-111	 -85	 283	-4.0	T2	 -17.0%	存储芯片,边缘计算           	1+49 # 4+50%+0.5%        
000753	漳州发展	 -3.81%	 7.36	193	 -80	 491	1128	-3.0	T1	 12.42%	跨境电商,数字经济           	4+28 # 8+88%+6.8%        
600589	大位科技	 -5.45%	 6.42	 56	  19	  -6	 -21	-8.0	T1	-14.24%	数据中心,算力概念           	27+48 # 23+70%+4.7%      
601226	华电科工	 -5.83%	10.33	155	 -63	 399	2221	-1.0	T1	 19.25%	昨日触板成长龙头,工程机械,工程机械概念	1+32 # 4+75%+3.2%        
002196	方正电机	 -5.97%	 7.79	146	 -23	 -52	 -57	-7.0	T1	-17.98%	电机人气龙头,长江三角,机器人概念   	2+29 # 7+57%+2.6%        
603280	南方路机	  -6.1%	16.71	 52	 -12	 212	1699	-2.0	T1	 21.02%	3天2板,人工智能,工程机械概念    	0+7 # 3+33%+1.3%         
603090	宏盛股份	 -7.19%	15.06	152	 -89	 429	1910	-1.0	T1	 11.36%	昨日首板,贬值受益,乡村振兴      	1+11 # 5+20%+-2.2%       
601798	蓝科高新	 -8.08%	 16.5	169	 -42	  10	 422	-7.0	T1	 13.41%	一带一路,海工装备           	2+15 # 5+40%+-0.9%       
002276	万马股份	 -8.49%	 3.61	 73	  13	 -47	 -13	-4.0	T2	-16.77%	高压快充人气龙头,5G概念,区块链   	12+115 # 8+62%+3.4%      
002554	惠博普：	 -8.74%	 16.4	272	-114	 203	2178	-3.0	T1	 14.87%	采掘行业,可燃冰            	0+26 # 1+100%+4.4%       
600097	开创国际	 -8.84%	14.88	199	 -22	 -97	2236	-8.0	T2	  7.22%	4天2板,海洋经济,水产养殖      	1+12 # 3+67%+3.7%        
002173	创新医疗	  -9.2%	 3.56	120	  70	  16	  33	-3.0	T1	-14.39%	婴童概念,人脑工程           	3+27 # 8+38%+-1.1%       
600797	浙大网新	 -9.58%	18.84	 18	   1	 -16	  33	-3.0	T2	 -6.32%	数据中心,东数西算           	104-14/8+82 # 16+44%+0.4%
000555	神州信息	 -9.61%	15.46	136	 -38	 -41	 307	-2.0	T2	 -1.03%	边缘计算,京东金融           	131-59/9+63 # 10+50%+0.1%
000779	甘咨询：	 -9.99%	14.65	184	 -19	 -46	 617	-7.0	T2	  3.03%	工程咨询服务,数据中心         	5+21 # 6+17%+-2.6%       
000595	宝塔实业	-10.01%	19.19	103	  54	 -65	 626	-4.0	T2	 -5.67%	机器人概念,并购重组概念        	2+29 # 16+88%+3.6%       
